District,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C24,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30
ALAMEDA CO OFFICE OF ED,66836,2415,1082,213,0,0,0,0,946,0,0,0,0,174,22897,10183,25,718,558,0,0,0,0,0,0,11413,0,0,0,0,41524,29182,0,0,0,0,0,4881,1989,0,0,0,0,0,0,1097,150,0,935,0
ALPINE COUNTY SPECIAL SCHOOLS,1560,195,0,0,0,0,0,0,49,0,0,0,0,146,1072,903,0,0,2,0,0,0,0,0,0,167,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,35,0
AMADOR CO SPL SCHS OPER BY CO SUPT,17732,1281,3,934,5,0,0,0,316,14,0,0,0,14,8796,1350,12,2302,139,0,0,0,0,2942,0,2051,0,0,0,0,7655,1219,0,0,0,0,0,5913,0,0,0,0,0,0,0,0,0,0,40,0
BUTTE CO SPL SCHS OPER BY CO SUPT,97081,30147,20278,6760,30,0,0,0,2698,308,0,0,7,96,26748,6880,56,834,382,0,0,0,6,0,0,18590,0,0,0,0,40186,8652,0,0,0,0,0,11264,1683,0,0,0,0,0,0,526,310,0,300,0
CALAVERAS CO SPL SCHS OPER BY CO SUPT,18278,1824,228,1235,11,0,0,0,331,18,0,0,0,12,12251,5681,10,4318,217,0,0,0,1,0,0,2024,0,0,0,0,4203,1315,0,0,0,0,0,1672,0,0,0,0,0,0,0,12,0,0,102,0
COLUSA COUNTY OFFICE OF EDUCATION,13745,2139,0,1004,1,0,0,0,741,331,0,0,0,63,6695,2247,5,2209,95,0,0,0,0,0,0,2139,0,0,0,0,4911,461,0,0,0,0,0,3828,1,0,0,16,0,0,0,0,0,0,108,0
CONTRA COSTA CO SPL SCHS OPER BY CO SUPT,117749,4320,1417,392,33,0,2,0,2278,43,0,0,0,188,47749,14827,46,1113,556,0,0,0,4,0,0,31203,0,0,0,0,65680,32490,0,0,0,0,0,24989,2152,0,0,7,0,0,0,850,21,0,1205,0
CONTRA COSTA CO ROP,45560,14970,0,14970,0,0,0,0,0,0,0,0,0,0,30502,0,0,25925,0,0,0,0,0,0,0,4577,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
DEL NORTE CO SPL SCHS OPER BY CO SUPT,10231,1379,221,246,12,0,0,0,60,0,0,0,349,503,7732,6273,1,0,139,0,0,0,0,0,0,1319,0,0,0,0,1120,33,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,234,37,0
EL DORADO CO SPL SCHS OPER BY CO SUPT,226526,38013,838,29162,45,0,0,48,1663,284,0,0,236,5782,159709,9634,41,127012,349,0,0,0,16,0,0,22657,0,0,0,0,28804,7684,0,0,0,0,0,7957,26,207,0,11,0,0,0,9561,20,0,673,0
OFFICE OF EDUC SPL SCHS OPER BY CO SUPT,208576,46489,11063,17513,53,0,0,32,17487,47,0,0,0,347,94304,18018,100,32591,1118,0,0,0,0,1181,0,41296,0,0,0,0,67783,25507,0,0,0,0,0,18971,5657,0,0,0,0,0,0,95,244,0,1621,0
GLENN CO SPL SCHS OPER BY CO SUPT,28158,5936,44,1207,5,0,0,12,2012,123,0,0,0,2538,12981,5729,17,2438,161,0,0,0,21,0,0,4615,0,0,0,0,9241,1603,0,0,0,0,0,5602,0,85,0,0,0,0,0,51,308,0,55,0
HUMBOLDT CO SPL SCH OPER BY CO SUPT,53610,7366,229,5775,15,0,0,0,1212,37,0,0,0,113,26398,9170,28,11010,394,0,0,0,3,0,0,5793,0,0,0,0,19846,1919,0,0,0,0,0,11746,116,0,0,6,0,0,0,824,5,0,179,0
IMPERIAL CO SPL SCHS OPER BY CO SUPT,117911,20634,7081,8862,23,0,0,30,4535,0,0,0,0,126,61563,10154,49,18347,343,0,0,0,0,0,0,32670,0,0,0,0,35714,2152,0,0,0,0,0,19303,276,0,0,0,0,0,0,195,0,0,923,0
INYO CO SPL SCHS OPER BY CO SUPT,14105,2737,0,911,0,0,0,0,1279,466,0,0,0,81,6171,2326,7,2616,1,0,0,0,37,0,0,1184,0,0,0,0,5197,2428,0,0,0,0,0,2456,0,0,0,0,0,0,0,0,16,0,72,0
KERN CO SPL SCHS OPER BY CO SUPT,344863,74776,11872,20351,130,0,0,0,41324,1130,0,0,0,99,151080,36050,187,50714,970,0,0,0,74,0,0,63085,0,0,0,0,119007,20778,0,0,0,0,0,80719,616,0,0,510,0,0,0,8317,309,0,3409,0
KINGS CO SPL SCHS OPER BY CO SUPT,51900,7666,194,6619,11,0,0,0,543,0,0,235,0,75,23157,4149,37,13967,344,0,0,0,0,0,0,4660,0,0,0,0,21077,2776,0,0,0,0,0,13477,465,0,0,0,0,0,0,1232,0,0,166,0
LAKE COUNTY OFFICE OF EDUCATION,21287,3433,81,2033,1,0,0,0,1174,76,0,0,0,69,11928,2530,15,4305,146,0,0,0,76,0,0,4856,0,0,0,0,5926,2275,0,0,0,0,0,148,62,60,0,0,0,0,0,2368,0,0,259,0
LASSEN CO SPL SCHS OPER BY CO SUPT,13354,2349,77,1021,0,0,0,0,1101,49,0,0,0,101,7364,2506,11,2628,163,0,0,0,1,0,0,2055,0,0,0,0,3641,1166,0,0,0,0,0,1329,0,0,0,0,0,0,0,222,80,0,139,0
LOS ANGELES CO OFF OF EDUCATION,622074,274106,16711,11086,63,0,0,39,91224,142,0,0,0,154904,140768,71853,231,8861,5777,0,0,0,12,0,0,54034,0,0,0,0,207200,136443,0,0,0,0,0,26685,7415,0,0,0,0,0,0,23653,0,0,4254,0
MADERA CO SPL SCHS OPER BY CO SUPT,60890,12612,769,10270,48,0,0,0,1473,0,0,0,0,100,25420,6795,45,13576,295,0,0,0,0,0,0,4709,0,0,0,0,22858,8692,0,0,0,0,0,10179,439,0,0,0,0,0,0,0,969,0,388,0
MARIN CO SPECIAL SCHOOLS,74833,8059,366,7165,6,0,0,60,413,17,0,0,0,38,12410,2896,27,1597,205,0,0,0,0,1536,0,6149,0,0,0,0,54364,31988,0,0,0,0,0,8223,165,0,0,0,0,0,0,7343,3,0,933,0
MARIN COUNTY ROP,3292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3292,0,0,0,0,0,0,3275,0,0,0,0,0,0,0,0,0,0,17,0
MARIPOSA CO SPL SCHS OPER BY CO SUPT,4058,675,64,436,0,0,0,0,150,0,0,0,0,25,1803,1210,2,0,66,0,0,0,0,0,0,525,0,0,0,0,1580,0,0,0,0,0,0,1367,0,0,0,0,0,0,0,0,0,0,44,0
MENDOCINO CO SPL SCHS OPER BY CO SUPT,35260,4959,216,3959,5,0,26,0,644,0,0,0,0,114,20832,5411,9,9180,226,0,0,0,0,0,0,6006,0,0,0,0,9469,5459,0,0,0,0,0,677,367,0,0,0,0,0,0,1373,64,0,582,0
MERCED CO SPL SCHS OPER BY CO SUPT,145516,45723,9102,11937,165,0,0,86,6606,632,0,0,0,17360,60912,10842,100,29360,618,0,0,0,93,0,0,19899,0,0,0,0,38881,12970,0,0,0,0,0,15579,500,0,0,0,0,0,0,1329,36,0,933,0
MODOC CO SPL SCHS OPER BY CO SUPT,9022,2492,42,462,2,0,0,0,654,0,0,0,0,1334,3989,823,6,1692,115,0,0,0,0,0,0,1353,0,0,0,0,2541,811,0,0,0,0,0,1284,0,0,0,0,0,0,0,4,0,0,130,0
MONO CO SPECIAL SCHOOLS,11689,926,30,480,2,0,0,22,104,242,0,0,0,48,6539,3254,5,1616,88,0,0,0,16,0,0,1560,0,0,0,0,4224,2212,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,65,0
MONTEREY CO OFFICE OF EDUCATION,149087,30995,12171,15911,67,0,0,32,1849,807,0,0,0,225,61398,8599,76,37503,355,0,0,0,45,789,0,14031,0,0,0,0,56694,19136,0,0,0,0,0,24645,978,0,0,0,0,0,0,9471,28,0,596,0
NAPA CO SPL SCHS OPER BY CO SUPT,53075,14790,163,7912,0,0,105,0,5697,888,0,0,0,25,11543,1920,9,1749,153,0,0,0,7,0,0,7705,0,0,0,0,26742,18499,0,0,0,0,0,6979,246,0,0,0,0,0,0,392,10,0,250,0
NEVADA CO SPL SCHS OPER BY CO SUPT,39651,3985,380,2850,39,0,0,0,534,75,0,0,66,80,24238,12819,22,7232,258,0,0,0,5,0,0,3902,0,0,0,0,11428,1715,0,0,0,0,0,6956,11,0,0,0,0,0,0,1251,8,0,216,0
ORANGE COUNTY DEPARTMENT OF EDUCATION,352337,64448,4793,9180,46,0,0,134,49735,330,0,0,0,276,75858,26954,128,1142,1211,0,0,0,28,0,0,46395,0,0,0,0,212031,102664,0,0,0,0,0,80556,10406,0,0,353,0,0,0,4774,2441,0,5365,0
PLACER CO SPL SCHS OPER BY CO SUPT,123113,18289,945,12262,5,0,0,0,4783,94,0,0,45,160,46385,3135,38,24906,293,0,0,0,5,0,0,18008,0,0,0,0,58439,33750,0,0,0,0,0,17788,1376,0,0,0,0,0,0,502,8,0,894,0
PLUMAS COUNTY SPECIAL SCHOOLS,5852,1430,0,0,1,0,0,0,1416,0,0,0,0,14,2969,1594,3,0,76,0,0,0,0,0,0,1296,0,0,0,0,1453,62,0,0,0,0,0,1252,0,0,0,0,0,0,0,0,0,0,49,0
RIVERSIDE CO SPL SCHS OPER BY CO SUPT,289086,31737,5663,3404,19,0,44,50,22136,190,0,0,0,250,82981,26729,51,1844,1108,0,0,0,15,0,0,53234,0,0,0,0,174368,78859,0,0,0,0,0,40477,24849,0,0,0,0,0,0,363,524,0,3085,0
SACRAMENTO CO SPL SCHS OPER BY CO SUPT,174661,27004,2055,13959,469,0,0,0,10634,88,0,0,0,268,82869,24030,60,16284,792,0,0,0,7,1348,0,40348,0,0,0,0,64788,24021,0,0,0,0,0,28230,739,0,0,0,0,0,0,6466,201,0,1504,0
SAN BENITO CO SPL SCHS OPER BY CO SUPT,17683,718,164,395,1,0,0,0,83,51,0,0,0,25,8966,1904,5,5449,116,0,0,0,4,0,0,1488,0,0,0,0,7999,2542,0,0,0,0,0,4540,338,0,0,5,0,0,0,88,0,0,338,0
SAN BERNARDINO COUNTY OFFICE OF EDUCATION,461369,83318,3815,57301,74,0,28,0,21854,0,0,0,0,320,246081,39067,216,152435,2410,0,0,0,0,0,0,51953,0,0,0,0,131970,13961,0,0,0,0,0,73473,10358,0,0,0,0,0,0,23,0,0,1871,0
SAN DIEGO CO SPL SCHS OPER BY CO SUPT,523122,87265,10235,64608,83,548,0,131,11492,404,0,0,0,395,269988,39329,113,164438,965,0,0,0,31,0,0,65112,0,0,0,0,165869,102108,0,0,0,0,0,11012,9346,0,0,0,0,0,0,26312,1956,0,3786,0
SAN JOAQUIN CO SPL SCHS,270792,50206,5130,14542,86,0,23,67,3072,240,0,0,0,27132,126993,46473,80,36214,997,0,0,0,19,0,0,43210,0,0,0,0,93593,13888,0,0,0,0,0,44725,775,0,0,41,0,0,0,27943,2387,0,3820,0
SAN JOAQUIN COUNTY ROC/P,3399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3399,0,0,0,0,0,0,3084,0,0,0,0,0,0,0,282,0,0,33,0
SAN LUIS OBISPO CO SPL SCHS OPER BY CO SUPT,64949,10628,2909,7390,5,0,0,13,12,113,0,0,0,191,20867,4472,20,6441,245,0,0,0,13,0,0,9676,0,0,0,0,33454,23015,0,0,0,0,0,6261,573,0,0,2,0,0,0,2089,382,0,363,0
SAN MATEO CO SPL SCHS OPER BY CO SUPT,180887,20465,621,19124,10,0,0,10,656,0,0,0,0,54,26881,7961,45,1318,209,0,0,0,0,0,0,17348,0,0,0,0,133541,89129,0,0,0,0,0,22663,6885,0,0,0,0,0,0,3844,12,0,3140,0
SANTA BARBARA CO SPL SCHS OPER BY CO SUPT,89891,6670,440,414,9,0,0,0,5177,598,0,0,0,41,20841,4064,31,1880,277,0,0,0,17,0,0,14572,0,0,0,0,62380,30861,0,0,0,0,0,24181,1547,0,0,0,0,0,0,3958,52,0,949,0
SANTA CLARA COUNTY OFFICE OF EDUCATION,285629,26843,10803,11431,39,0,0,43,3704,810,0,0,0,52,44153,8708,143,7545,657,0,0,0,48,0,0,27052,0,0,0,0,214633,157344,0,0,0,0,0,28767,13499,0,0,95,0,0,0,8584,4,0,2101,0
NORTH COUNTY REGIONAL OCCUPATIONAL CENTER/PROGRAM (ROC/P),416,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
SANTA CRUZ CO SPL SCHS OPER BY CO SUPT,75651,13422,309,3725,25,0,0,0,9181,32,0,0,0,175,30802,18717,15,4869,292,0,0,0,2,0,0,6907,0,0,0,0,31427,11569,0,0,0,0,0,3590,1891,0,0,0,0,0,0,9822,0,0,648,0
SHASTA CO SPL SCHS OPER BY CO SUPT,67245,12946,492,5679,3,0,0,0,4875,1796,0,0,0,104,36785,6635,28,13972,642,0,0,0,54,0,0,15454,0,0,0,0,17514,4847,0,0,0,0,0,7278,540,0,0,2,0,0,0,2084,204,0,278,0
SIERRA CO SPL SCHS OPER BY CO SUPT,2805,543,7,135,0,0,0,0,343,0,0,0,0,58,1420,780,1,459,2,0,0,0,0,0,0,178,0,0,0,0,842,71,0,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,44,0
SISKIYOU CO SPECIAL SCHOOLS,22524,4795,70,1643,7,0,0,0,210,49,0,0,0,2823,13088,4542,12,4112,249,0,0,0,2,0,0,4171,0,0,0,0,4641,1101,0,0,0,0,0,1788,0,0,0,0,0,0,0,1158,0,0,383,0
SOLANO CO SPL SCHS OPER BY CO SUPT,73077,12484,534,11062,8,0,109,0,558,0,0,183,0,38,34073,6968,46,20150,263,0,0,0,0,41,0,6605,0,0,0,0,26520,9405,0,0,0,0,0,7499,2768,0,0,0,0,0,0,0,0,0,720,0
SONOMA CO SPL SCHS,138957,22805,352,17230,23,0,0,324,4874,0,0,0,0,25,60888,6692,31,41439,339,0,0,0,0,0,0,12387,0,0,0,0,55264,21021,0,0,0,0,0,24259,1961,0,0,0,0,0,0,3436,72,0,1295,0
STANISLAUS CO SPL SCHS OPER BY CO SUPT,252568,61245,1660,15628,41,0,0,23,18810,178,0,0,0,24946,86800,19613,84,32817,5678,0,0,0,7,0,0,28601,0,0,0,0,104523,29766,0,0,0,0,0,66661,2449,0,0,18,0,0,0,1049,17,0,1264,0
SUTTER CO SPL SCHS OPER BY CO SUPT,49099,7540,119,4407,13,0,0,50,2883,56,0,0,0,25,26780,8427,34,10318,134,0,0,0,5,0,0,7862,0,0,0,0,14779,1498,0,0,0,0,0,10988,4,0,0,0,0,0,0,221,0,0,415,0
TEHAMA CO SPECIAL SCHOOLS,29082,4143,197,2189,9,0,0,106,1557,0,0,0,0,94,14813,5310,34,4168,281,0,0,0,0,0,0,5020,0,0,0,0,10126,3536,0,0,0,0,0,2373,1,0,0,0,0,0,0,1550,0,0,234,0
TRINITY COUNTY OFFICE OF EDUCATION,8698,1814,14,449,0,0,0,0,1149,0,0,0,0,202,4715,1852,0,1175,200,0,0,0,0,0,0,1488,0,0,0,0,2169,770,0,0,0,0,0,1204,0,0,0,0,0,0,0,0,0,0,76,0
TULARE CO SPL SCHS OPER BY CO SUPT,241196,65677,7977,20252,30,0,0,64,14955,1268,0,0,0,21161,125036,19893,99,57528,3164,0,0,0,79,0,0,44273,0,0,0,0,50483,8493,0,0,0,0,0,14497,667,0,0,47,0,0,0,12553,51,0,1595,0
TUOLUMNE COUNTY SELPA,16224,1887,48,1477,1,0,0,1,274,0,0,0,0,87,7409,2704,10,2845,134,0,0,0,0,0,0,1716,0,0,0,0,6928,1322,0,0,0,0,0,3840,16,0,0,0,0,0,0,9,2,0,127,0
VENTURA CO SPL SCHS OPER BY CO SUPT,242500,35863,4016,30101,46,0,0,0,1565,0,0,0,0,181,127328,12466,76,70260,426,0,0,0,0,21085,0,23015,0,0,0,0,79309,22292,0,0,0,0,0,47259,2031,0,0,0,0,0,0,1,121,0,1286,0
VENTURA COUNTY ROP,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1515,0,0,0,0,0,0,1492,0,0,0,0,0,0,0,0,0,0,23,0
YOLO COUNTY SPECIAL SCHOOLS OPERATED BY CO SUPT,45949,10498,327,5904,8,0,0,6,141,85,0,0,0,4035,20655,3783,17,11777,158,0,0,0,5,0,0,4915,0,0,0,0,14796,7445,0,0,0,0,0,4461,948,0,0,0,0,0,0,1106,13,0,381,0
YUBA CO SPL SCHS OPER BY CO SUPT,35502,6551,246,3468,0,0,0,23,2778,0,0,0,0,36,18469,5742,20,7557,188,0,0,0,0,2078,0,2884,0,0,0,0,10482,3130,0,0,0,0,0,5835,18,0,0,1,0,0,0,480,640,0,221,0
ALAMEDA UNIFIED SCH DIST,152604,5885,956,2125,234,0,49,230,770,1726,0,0,0,29,74928,52948,61,956,669,0,0,0,83,0,0,16747,0,0,3464,0,71791,0,46243,0,0,0,12467,0,4707,0,0,1000,0,0,0,0,857,0,1848,0
ALBANY CITY UNIFIED SCH DIST,78758,6281,194,5484,89,0,0,66,154,383,0,0,0,0,42105,20376,23,13956,261,0,0,0,23,0,0,6108,0,0,1358,0,30372,0,18475,0,0,0,6046,279,0,0,0,748,0,0,0,802,209,0,1300,0
BERKELEY UNIFIED SCH DIST,212767,7691,946,2020,311,48,46,95,2514,2070,0,0,0,0,79302,46983,0,0,686,0,0,0,134,0,0,26870,0,0,4629,0,125774,0,69643,0,0,0,37492,3345,580,189,333,531,0,0,0,0,378,0,2513,0
CASTRO VAL UNIFIED SCH DIST,165687,21190,908,18767,137,0,37,99,188,1191,0,0,0,0,98977,53037,47,22580,656,0,0,0,86,0,0,19421,0,0,3150,0,45520,0,35889,0,0,0,0,1034,586,515,134,1537,0,0,0,0,528,0,1351,0
EMERY UNI SCH DIST,19385,1362,91,144,15,0,0,15,807,305,0,0,0,0,3555,1876,3,0,49,0,0,0,21,0,0,1304,0,0,302,0,14468,0,5066,0,0,0,2672,459,4792,0,0,0,0,0,0,0,309,0,159,0
HAYWARD UNIFIED SCHOOL DISTRICT,330918,27570,5256,4615,480,0,178,515,9413,7593,0,0,0,0,190304,140078,116,176,1315,0,0,0,476,0,0,39254,0,0,8889,0,113044,0,83815,0,0,0,4651,5341,7516,51,46,458,0,0,0,0,1128,0,3849,0
MOUNTAIN HOUSE ELEM SCH,861,27,0,5,0,0,0,0,16,6,0,0,0,0,385,202,1,0,1,0,0,0,0,0,0,170,0,0,11,0,449,0,348,0,0,0,0,76,0,0,0,1,0,0,0,0,0,0,19,0
NEWARK UNIF SCH DIST,89064,3711,589,1125,134,0,36,138,41,1782,0,0,0,0,39730,28246,35,16,424,0,0,0,123,0,0,8864,0,0,2022,0,45623,0,34725,0,0,0,0,2811,1004,39,0,576,0,0,0,0,246,0,895,0
OAKLAND UNIF SCH DIST,760236,63687,21890,9912,1644,0,474,1639,13771,15883,0,0,43,75,377426,273796,313,20530,2515,0,0,0,0,0,0,65858,0,0,14414,0,319123,0,195411,0,0,0,44107,0,29117,0,0,416,0,0,0,107,682,0,4617,0
PIEDMONT CITY UNIF SCH DIST,54755,1117,38,580,15,0,0,1,492,6,0,0,0,0,15915,9692,23,0,172,0,0,0,0,0,0,4800,0,0,1228,0,37723,0,19194,0,0,0,10406,1139,0,233,0,1040,0,0,0,0,276,0,596,0
PLEASANTON UNIFIED SCH DIST,222385,4831,247,3023,182,0,47,276,533,705,0,0,0,0,109131,59024,73,19741,1066,0,0,0,42,0,0,23804,0,0,5381,0,108423,0,86447,0,0,0,0,564,0,10,0,3769,0,0,0,612,0,0,2097,0
SAN LEANDRO UNI SCH DIST,140905,7848,1608,2117,270,0,60,316,734,2988,0,0,0,25,77204,56385,48,0,635,0,0,0,216,0,0,16554,0,0,3366,0,55853,0,44036,0,0,0,37,3603,3643,112,0,659,0,0,0,0,576,0,1265,0
SAN LORENZO UNIFIED SCHOOL DIST,154360,8721,1955,2067,142,0,83,268,509,3839,0,0,0,0,97979,74664,63,0,767,0,0,0,284,0,0,18312,0,0,3889,0,47660,0,35179,0,0,0,0,2514,4817,26,5,741,0,0,0,0,1211,0,1733,0
SUNOL GLEN ELEM SCH DIST,4399,91,22,20,4,0,0,0,41,8,0,0,0,0,1612,1247,1,0,20,0,0,0,0,0,0,230,0,0,114,0,2696,0,1703,0,0,0,0,195,0,0,0,29,0,0,0,0,0,0,33,0
TRI-VALLEY ROP JPA,5464,0,0,0,0,0,0,0,0,0,0,0,0,0,1546,0,0,0,0,0,0,0,0,0,0,1546,0,0,0,0,3918,0,0,0,0,0,0,3648,0,0,0,0,0,0,0,29,0,0,51,0
EDEN AREA ROP JPA,13348,251,0,0,0,0,0,0,251,0,0,0,0,0,4343,0,0,0,0,0,0,0,0,0,0,4343,0,0,0,0,8754,0,0,0,0,0,0,7545,0,923,0,0,0,0,0,0,0,0,268,0
MISSION VALLEY ROC/P JPA,10453,0,0,0,0,0,0,0,0,0,0,0,0,0,3602,0,0,0,0,0,0,0,0,0,0,3602,0,0,0,0,6851,0,0,0,0,0,0,6525,0,0,0,0,0,0,0,53,0,0,187,0
DUBLIN UNIF SCH DISTRICT,179202,2239,178,1362,56,0,0,135,54,510,0,0,0,0,73992,53137,49,0,760,0,0,0,6,1,0,16056,0,0,3983,0,102971,0,76794,0,0,0,1804,5130,0,67,0,2308,0,0,0,0,478,0,4351,0
FREMONT UNIF SCHOOL DIST,483035,17362,2365,10690,630,0,152,859,693,2571,0,0,32,0,254039,171876,178,25199,2535,0,0,0,179,3595,0,36991,0,0,13486,0,211634,0,177730,0,0,0,4357,4069,2,222,244,3224,0,0,0,46,3028,0,6105,0
NEW HAVEN UNIFIED SCHOOL DIST,164428,7094,988,2136,239,0,62,233,1265,2410,0,0,0,0,88351,68967,57,32,805,0,0,0,163,0,0,14212,0,0,4115,0,68983,0,52397,0,0,0,0,5391,3395,16,0,828,0,0,0,0,1044,0,1897,0
LIVERMORE VALLEY JT UNIFIED SCH DIST,185774,6611,1174,3126,351,0,63,291,311,1548,0,0,98,0,82676,58842,75,0,1008,0,0,13,97,0,0,17888,0,0,4753,0,96487,0,74754,0,0,0,3985,7047,1410,13,0,1714,0,0,0,196,604,0,1390,0
ALPINE CO UNIF SCH DIST,3608,759,46,2,1,0,0,0,28,50,0,493,0,140,1039,500,0,128,5,0,0,0,4,0,0,315,0,0,87,0,1810,0,1434,0,0,0,0,99,0,0,0,1,0,0,0,0,11,0,109,0
AMADOR CO UNIF SCH DIST,49778,2059,759,0,158,0,28,0,141,1080,0,0,0,51,18223,11112,24,0,277,0,0,21,83,0,0,5672,0,0,1034,0,29496,0,26561,0,0,0,0,0,14,0,0,388,0,0,0,0,13,0,177,0
BANGOR UNION ELEMENTARY SCH DIST,1751,131,34,9,5,0,0,0,30,58,0,0,0,0,1006,726,0,41,6,0,0,0,5,0,0,197,0,0,31,0,614,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
BIGGS UNIFIED SCH DIST,8458,687,312,69,38,0,8,0,69,228,0,0,0,1,5063,3639,7,203,40,0,0,12,17,0,0,942,0,0,203,0,2708,0,2375,0,0,0,0,68,0,0,0,14,0,0,0,0,26,0,61,0
DURHAM UNIFIED SCH DIST,12434,473,107,114,20,0,5,0,6,239,0,0,0,2,7912,5814,7,343,48,0,0,9,17,0,0,1340,0,0,334,0,4049,0,3394,0,0,0,0,64,0,0,3,76,0,0,0,0,75,0,27,0
FEATHER FALLS UNION ELEM SCH DIST,476,64,1,8,1,0,0,0,40,5,0,0,4,6,267,191,1,42,1,0,0,0,0,0,0,23,0,0,9,0,145,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
MANZANITA ELEM SCH DIST,3641,227,59,34,8,0,0,0,42,91,0,0,0,1,2939,2356,2,100,22,0,0,0,6,0,0,365,0,0,88,0,475,0,399,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,37,0
OROVILLE CITY ELEM SCH DIST,31920,2098,546,417,121,0,0,18,303,814,0,0,0,0,23537,19447,22,682,145,0,0,0,103,0,0,2315,0,0,823,0,6285,0,3736,0,0,0,0,943,945,0,0,9,0,0,0,0,92,0,70,0
OROVILLE UNION HIGH SCHOOL DIST,36760,2334,937,233,182,0,78,5,285,703,0,0,79,14,21842,17087,22,688,143,0,0,22,56,0,0,3080,0,0,744,0,12584,0,8213,0,0,0,0,1769,1240,258,0,111,0,0,0,0,10,0,187,0
PALERMO UNION ELEM SCH DIST,17540,1518,433,142,43,0,0,15,98,779,0,0,49,2,14274,11598,10,425,90,0,0,0,58,0,0,1645,0,0,448,0,1748,0,1396,0,0,0,0,94,0,0,0,17,0,0,0,0,0,0,58,0
PARADISE UNIFIED SCHOOL DISTRICT,48495,3126,953,504,167,0,39,0,170,1442,0,0,0,18,32453,24329,33,1291,242,0,0,0,100,0,0,5398,0,0,1060,0,12916,0,10276,0,0,0,0,0,118,0,0,20,0,0,0,0,0,0,244,0
THERMALITO UNION ELEM SCH DIST,25172,3387,1113,172,80,0,0,27,248,1824,0,0,0,3,19363,15008,12,521,110,0,0,0,112,0,0,3015,0,0,585,0,2422,0,1286,0,0,0,0,104,368,0,0,36,0,0,0,0,31,0,142,0
GRIDLEY UNIFIED SCHOOL DISTRICT,28197,1919,461,230,56,0,19,36,280,889,0,0,0,4,21345,16835,15,764,141,0,0,18,61,0,0,2812,0,0,699,0,4933,0,3777,0,0,0,0,220,301,0,0,98,0,0,0,0,11,0,201,0
CHICO UNIF SCHOOL DIST,183886,11550,3368,2045,621,0,106,100,2118,3788,0,0,0,25,102493,72650,103,4527,855,0,0,11,244,0,0,19906,0,0,4197,0,69843,0,43767,0,0,0,0,2287,14129,0,34,486,0,0,252,5,95,0,1476,0
GOLDEN FEATHER UNION SCHOOL DISTRICT,3071,147,70,7,10,0,0,0,63,0,0,0,0,7,628,392,1,43,3,0,0,0,0,0,0,151,0,0,38,0,2296,0,1096,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,32,0
PIONEER UNION ELEM SCHOOL DIST,1150,135,41,6,4,0,0,0,34,43,0,0,4,7,438,264,1,44,4,0,0,0,3,0,0,98,0,0,24,0,577,0,525,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0
BRET HARTE UNION HIGH SCH DIST,13787,267,150,0,20,0,0,0,0,111,0,0,0,6,1572,391,10,0,43,0,0,33,8,0,0,767,0,0,320,0,11948,0,11105,0,0,0,0,0,0,0,0,82,0,0,0,11,68,0,139,0
CALAVERAS UNI SCH DIST,38778,2170,790,0,131,0,33,0,240,1083,0,0,0,24,12550,6830,28,0,189,0,0,11,82,0,0,4523,0,0,887,0,24058,0,22327,0,0,0,0,385,0,0,0,175,0,0,0,0,53,0,77,0
MARK TWAIN UNION ELEM SCHOOL DIST,10118,457,191,0,8,0,0,6,12,241,0,0,0,7,4349,3130,7,0,55,0,0,0,18,0,0,910,0,0,229,0,5312,0,4802,0,0,0,0,28,0,0,12,47,0,0,0,18,8,0,97,0
VALLECITO UNION ELEM SCH DIST,10120,642,402,0,41,0,0,0,58,177,0,0,0,5,1876,825,7,0,53,0,0,0,14,0,0,747,0,0,230,0,7602,0,7235,0,0,0,0,0,0,0,11,62,0,0,0,0,0,0,80,0
