District,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C24,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30
OCEAN VIEW SCHOOL DISTRICT,37982,2987,481,493,41,0,0,146,92,1551,0,224,0,0,27211,23116,19,0,182,0,0,0,179,0,0,2835,0,0,880,0,7784,0,5086,0,0,0,0,1246,345,0,0,21,0,0,0,17,0,0,699,0
OXNARD SCHOOL DISTRICT,245962,17355,3806,3149,552,0,0,844,672,8884,0,0,0,0,172218,142181,106,361,1178,0,0,0,899,0,0,21508,0,0,5985,0,56389,0,39997,0,0,0,0,7717,3611,0,0,96,0,0,0,10,64,0,2712,0
OXNARD UNION H SCH DIST,259692,14274,2952,3401,259,0,379,181,915,6446,0,0,0,0,142011,114023,79,0,1128,0,0,7,445,0,0,20552,0,0,5777,0,103407,0,74859,0,0,0,0,12708,7766,213,0,190,0,0,0,0,447,0,4483,0
PLEASANT VALLEY SCHOOL DISTRICT,82949,3626,547,1359,108,0,0,66,235,1152,0,267,0,0,36921,29538,37,0,535,0,0,0,89,0,0,4692,0,0,2030,0,42402,0,32087,0,0,0,0,2275,1475,0,59,712,0,0,0,5,488,0,1458,0
RIO ELEM SCH DIST,81624,5364,925,1013,137,0,0,336,283,2807,0,0,0,0,45949,40388,24,0,344,0,0,0,185,0,0,3278,0,0,1730,0,30311,0,17581,0,0,0,0,2149,2283,0,0,337,0,0,0,0,60,5503,975,0
SANTA CLARA ELEM SCH DIST,680,28,0,11,0,0,0,0,17,0,0,0,0,0,401,357,0,0,4,0,0,0,0,0,0,24,0,0,16,0,251,0,189,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,29,0
SANTA PAULA UNIFIED SCHOOL DISTRICT,83512,6664,1279,1021,176,0,47,233,430,3381,0,0,0,273,59704,50802,38,0,369,0,0,15,406,0,0,6019,0,0,2055,0,17144,0,9086,0,0,0,0,2723,1576,0,0,39,0,0,0,0,133,0,866,0
SIMI VALLEY UNIFIED SCH DIST,229810,9083,1900,3142,371,0,0,258,967,2816,0,0,0,0,117331,88944,122,416,1153,0,0,0,170,0,0,21194,0,0,5332,0,103396,0,69265,0,0,0,0,10213,5164,1406,0,2112,0,0,0,795,1085,7281,2864,0
SOMIS UNION ELEM SCH DIST,3768,221,65,48,8,0,0,0,0,108,0,0,0,0,926,643,2,0,17,0,0,0,8,0,0,170,0,0,86,0,2621,0,2137,0,0,0,0,255,0,0,0,2,0,0,0,0,29,0,86,0
VENTURA UNIF SCH DIST,222549,13954,2165,3784,373,0,76,334,2970,4545,0,0,80,0,120894,91496,111,238,1134,0,0,5,377,0,0,22140,0,0,5393,0,87701,0,68313,0,0,0,2176,7206,1567,386,0,1393,0,0,0,416,788,0,1636,0
OAK PARK UNIFIED SCHOOL DIST,55199,1164,161,842,40,0,0,36,0,125,0,0,0,0,30104,26101,26,0,326,0,0,0,8,0,0,2155,0,0,1488,0,23931,0,16230,0,0,0,5,2036,0,0,0,685,0,0,0,0,74,0,323,0
CONEJO VALLEY UNIFIED SCHOOL DISTRICT,230699,7755,1681,3488,465,0,98,178,260,2050,0,0,0,0,78039,57652,93,199,1310,0,0,0,150,0,0,12548,0,0,6087,0,144905,0,112351,0,0,0,0,4849,5525,2131,0,1777,0,0,0,212,1117,0,2920,0
DAVIS JT UNIF SCH DIST,128234,3649,852,1687,210,0,42,151,23,894,0,0,0,0,57154,38229,66,0,567,0,0,12,63,0,0,14956,0,0,3261,0,67431,0,43615,0,0,0,9884,3439,3134,220,0,960,0,0,0,0,431,0,812,0
WASHINGTON UNIF SCH DIST,119228,8108,1928,1663,254,0,69,199,347,3889,0,0,13,0,76605,58129,50,0,560,0,0,4,328,1500,0,13395,0,0,2639,0,34515,0,21348,0,0,0,0,1077,5283,0,0,978,0,0,0,0,97,0,1309,0
WINTERS JT UNIFIED SCH DIST,23593,1130,208,313,22,0,17,67,26,499,0,0,0,0,15110,11662,13,0,107,0,0,10,38,0,0,2729,0,0,551,0,7353,0,5145,0,0,0,0,598,317,0,0,95,0,0,0,0,33,0,417,0
